MASKED_XCC,SKU_NUMBER,SKU_RANK_NUMBER,HEALTH_SKU_NUMBER
39737787,369824,17,318986
50564263,243786,9,237544
1092013,455333,4,226585
1064519,234585,12,115585
36265964,752428,11,454376
837281,214760,19,264628
32531943,381295,12,869885
13791369,707940,1,101659
44554045,276326,11,276326
27388535,451305,3,347943
26937388,801776,11,319833
39713200,962810,3,179740
3666379,329913,16,875951
44720180,209144,19,695402
3559333,769711,5,764183
14777684,705527,6,319833
33037742,140160,7,240966
4732799,841355,12,983914
2902365,320701,3,238246
19112540,349619,17,610709
23100623,183454,9,870124
19353736,444724,7,442316
10251673,146628,3,239066
34868325,161556,6,996501
460515,369824,11,966052
2421681,379277,5,789786
37726971,275175,7,273540
4248913,300591,18,352713
10534890,829850,19,203515
54146688,846846,11,829850
2021336,211276,17,451305
67576508,831100,15,695734
33579525,979596,3,369824
22786459,811074,2,905369
13553099,305788,9,305788
39127803,966052,2,451305
947483,110421,16,657773
26940214,281874,20,370317
27633737,164665,5,450462
40445997,956360,8,891465
18245382,827989,1,237392
50855386,211810,3,327523
9054119,413879,14,813576
22028381,211728,9,308609
28989161,102384,6,369824
38412092,209144,6,482530
37567438,450186,7,358923
45279419,186973,1,186973
25425781,747960,6,745380
14991550,798849,20,407234
22043207,236066,8,337414
26327854,829850,9,829850
26705682,209144,16,369824
23272612,938980,3,942556
40471350,789786,14,210078
11969115,896851,2,152314
3186110,317746,8,451305
22953194,154815,7,154815
20244506,977069,1,147960
10275115,829854,11,275175
16404775,599779,13,176169
20463015,697460,11,337505
12802173,408076,6,299970
52353668,829850,15,439373
22022735,298691,7,242050
46854865,969355,1,371765
2295055,154641,5,154641
25749959,458380,11,395833
41774395,395833,18,206713
25510945,211810,20,236066
4910333,343885,9,959956
4138617,378687,12,337060
35082346,369824,5,171322
57087126,407234,8,228263
26395990,318932,18,356131
5925112,369824,9,361568
44732180,817199,6,900001
18398583,830729,3,702337
28207557,604994,9,482530
1155600,210683,12,482149
5010577,731232,17,341442
39426641,858015,1,858015
4659755,337505,13,208874
45725815,401226,9,468080
38161946,546705,2,248466
45703,365814,3,385631
19721809,516584,13,731309
39906589,573519,2,562063
5729191,172309,17,599779
4105903,251151,1,173061
6344258,537316,4,537316
9531302,380036,2,444724
23368395,276326,8,997124
2907499,124805,11,935612
3965681,454376,8,370317
19834788,997124,12,365523
37979519,464972,1,30205
22672767,249560,11,259256
8223283,930981,8,586993
34182399,152355,8,155912
52839410,957793,5,208708
27095989,897530,1,212358
45019264,100990,6,442316
4715005,404598,13,167952
3416991,415152,18,132041
21117800,398254,11,322755
38293664,262332,3,936285
2521712,215412,7,380036
147631,580365,8,468080
53183228,346754,4,410647
39214132,369824,6,228263
26034690,198471,13,369824
48795302,866992,12,789786
44394615,986976,1,213638
38347467,829850,16,726596
51804859,208773,8,414200
40544687,468080,12,966052
25578250,372441,4,321978
22016264,507400,13,829850
40264470,862232,12,284569
27411909,328276,5,386819
46803519,378687,18,378687
40191683,240969,4,415784
25573138,364510,11,750720
14393970,919084,8,254997
26682320,244956,20,351284
5303961,380036,9,789786
29957472,507392,7,974233
34958538,992039,11,208874
3316060,566166,13,378687
49909215,829850,9,855381
2697223,264965,9,369824
22564076,260781,12,919713
20632987,415184,2,239673
14855308,599779,4,481467
24347103,447067,7,264076
52989023,846846,18,846846
38875786,380036,1,444724
22054783,341442,6,705527
11745169,487947,1,192695
26940855,496725,11,923317
46605682,304659,8,215311
55481306,135780,1,300258
26008907,829850,4,414117
38234822,789544,7,789544
22105311,366588,11,509622
3960237,507400,9,100990
1385151,829850,7,829850
19850892,175471,9,419423
21680179,817199,6,900001
22575252,380036,3,155912
27529470,714968,4,203355
29158244,955037,11,163915
7479820,366424,20,292739
1642463,868195,11,829850
1362792,743704,4,743704
39536554,167952,12,966052
22901273,335244,5,281874
3080605,829850,9,829850
2803501,380036,20,451305
3664690,451305,7,164665
21805704,505768,1,154815
52062107,468080,7,341442
8308981,209144,10,813576
28258977,168478,14,846847
39749317,327768,3,542718
39147597,484492,9,873023
67622041,861574,19,692270
4339000,477048,2,371971
37823809,853023,15,337540
11720981,242050,16,584998
1437541,103308,3,380036
23387681,230344,4,209144
16986150,347837,4,337274
14230651,495761,8,199539
45187120,369824,17,369824
2463388,507392,5,789786
27569999,458290,8,206942
46120686,451305,13,302828
3298263,875957,10,836481
38505254,319833,7,352368
787134,918123,11,695200
32799433,237544,11,341012
36408087,910693,6,823994
50024891,416261,7,956746
39608856,281874,14,959956
40466394,201734,3,110973
6915995,580365,10,813576
3065443,191162,3,890841
28720524,369415,13,369415
13055500,172465,11,862652
52559879,482530,5,211727
40257290,335244,4,369824
11793143,397983,13,341442
17953062,369824,19,395534
20493847,275175,6,236066
52490739,411288,5,719503
48782502,184498,4,302828
15587571,890845,1,331038
22682916,813440,10,237548
2289952,264628,17,853023
42011045,997124,19,966052
5994014,734701,14,800231
41796045,829850,9,829850
39711610,726596,3,910041
19470896,729942,10,502520
7954539,318160,2,110973
9109623,328276,1,188721
50794548,337472,8,317746
48735051,985574,12,369824
10378030,866992,15,337540
1805108,211810,17,412192
39789647,369824,11,413879
43512031,966052,9,845173
868611,507013,17,200129
22858457,749202,6,281874
20905728,370317,13,341442
33051502,369927,9,734701
51532099,948075,12,854441
26365539,438444,8,829854
6852662,264628,12,692270
815959,701505,7,679109
684311,900647,4,800231
11037940,209144,14,276326
90031353,996842,17,356800
36358049,246284,2,122414
39722770,369415,11,224559
17533346,973316,13,978463
8604753,588196,10,398254
2720347,234585,17,370317
51213389,520577,12,228263
5334103,369824,12,369824
29709587,995342,5,855596
373974,354531,19,838265
4464582,709221,14,398345
11532944,351201,9,597086
834072,468080,5,341442
31327294,887883,1,230650
1000054,695047,20,596731
15875728,173911,13,789786
5231624,259849,11,264628
8487755,451305,8,380036
50668733,264628,5,264628
17124919,416156,16,416156
2234107,237548,2,380036
10796397,966052,4,823994
13565492,955037,14,107631
8116499,309882,19,813576
8016832,337956,16,272600
29692124,724211,16,846846
26325554,416156,17,829850
